M2,M5,M6,M7,M8,Heating System Type,HeatCode_4a,winterefficiency,summerefficiency,basicefficiency,spaceheatingsystemtype,fluetype,mainheatingfuel,iscondensing,installationyear
Boiler,Bottled gas,1998+,Standard,Fan assisted,Gas boilers (including LPG) 1998 or later: Regular non-condensing with automatic ignition,101,74,64,74,standard,fanassistedbalancedflue,bottled_lpg,FALSE,2005
Boiler,Bottled gas,1998+,Condensing standard,Fan assisted,Gas boilers (including LPG) 1998 or later: Regular condensing with automatic ignition,102,84,74,84,standard,fanassistedbalancedflue,bottled_lpg,TRUE,2005
Boiler,Bottled gas,1998+,Combi,Fan assisted,Gas boilers (including LPG) 1998 or later: Non-condensing combi with automatic ignition,103,74,65,74,combi,fanassistedbalancedflue,bottled_lpg,FALSE,2005
Boiler,Bottled gas,1998+,Condensing Combi,Fan assisted,Gas boilers (including LPG) 1998 or later: Condensing combi with automatic ignition,104,84,75,84,combi,fanassistedbalancedflue,bottled_lpg,TRUE,2005
Boiler,Bottled gas,1998+,Back Boiler,Fan assisted,Gas boilers (including LPG) 1998 or later: Back boiler to radiators,109,66,56,66,back_boiler,fanassistedbalancedflue,bottled_lpg,FALSE,2005
Boiler,Bottled gas,1998+,Standard,Balanced,Gas boilers (including LPG) 1998 or later: Regular non-condensing with permanent pilot light,105,70,60,70,standard,balancedflue,bottled_lpg,FALSE,2005
Boiler,Bottled gas,1998+,Condensing standard,Balanced,Gas boilers (including LPG) 1998 or later: Regular condensing with permanent pilot light,106,80,70,80,standard,balancedflue,bottled_lpg,TRUE,2005
Boiler,Bottled gas,1998+,Combi,Balanced,Gas boilers (including LPG) 1998 or later: Non-condensing combi with permanent pilot light,107,70,61,70,combi,balancedflue,bottled_lpg,FALSE,2005
Boiler,Bottled gas,1998+,Condensing Combi,Balanced,Gas boilers (including LPG) 1998 or later: Condensing combi with permanent pilot light,108,80,71,80,combi,balancedflue,bottled_lpg,TRUE,2005
Boiler,Bottled gas,1998+,Back Boiler,Balanced,Gas boilers (including LPG) 1998 or later: Back boiler to radiators,109,66,56,66,back_boiler,balancedflue,bottled_lpg,FALSE,2005
Boiler,Bottled gas,1998+,Standard,Open,Gas boilers (including LPG) 1998 or later: Regular non-condensing with permanent pilot light,105,70,60,70,standard,openflue,bottled_lpg,FALSE,2005
Boiler,Bottled gas,1998+,Condensing standard,Open,Gas boilers (including LPG) 1998 or later: Regular condensing with permanent pilot light,106,80,70,80,standard,openflue,bottled_lpg,TRUE,2005
Boiler,Bottled gas,1998+,Combi,Open,Gas boilers (including LPG) 1998 or later: Non-condensing combi with permanent pilot light,107,70,61,70,combi,openflue,bottled_lpg,FALSE,2005
Boiler,Bottled gas,1998+,Condensing Combi,Open,Gas boilers (including LPG) 1998 or later: Condensing combi with permanent pilot light,108,80,71,80,combi,openflue,bottled_lpg,TRUE,2005
Boiler,Bottled gas,1998+,Back Boiler,Open,Gas boilers (including LPG) 1998 or later: Back boiler to radiators,109,66,56,66,back_boiler,openflue,bottled_lpg,FALSE,2005
Boiler,Bottled gas,pre 1998,Combi,Fan assisted,"Gas boilers (including LPG) pre-1998, with fan-assisted flue Combi",112,71,62,71,combi,fanassistedbalancedflue,bottled_lpg,FALSE,1995
Boiler,Bottled gas,pre 1998,Condensing Combi,Fan assisted,"Gas boilers (including LPG) pre-1998, with fan-assisted flue Condensing combi",113,84,75,84,combi,fanassistedbalancedflue,bottled_lpg,TRUE,1995
